"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"d:\Grozev\xampp\htdocs\online-trans-react\src\App.css", "CSS", 0, 0, 29, 41, 10, 80
"d:\Grozev\xampp\htdocs\online-trans-react\src\App.js", "JavaScript", 17, 0, 0, 2, 6, 25
"d:\Grozev\xampp\htdocs\online-trans-react\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\Grozev\xampp\htdocs\online-trans-react\src\app-layouts\MobilePortraitApp.js", "JavaScript", 19, 0, 0, 0, 6, 25
"d:\Grozev\xampp\htdocs\online-trans-react\src\app-layouts\MobilePortraitApp.module.css", "CSS", 0, 0, 10, 0, 1, 11
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\PickSystem.js", "JavaScript", 63, 0, 0, 0, 8, 71
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\PickSystem.module.1.css", "CSS", 0, 0, 147, 3, 29, 179
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\PickSystem.module.css", "CSS", 0, 0, 162, 0, 33, 195
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\DataInput.js", "JavaScript", 45, 0, 0, 4, 6, 55
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\DataInput.module.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\DataInputControls.js", "JavaScript", 47, 0, 0, 1, 6, 54
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\DataInputControls.module.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\TextArea.js", "JavaScript", 46, 0, 0, 4, 7, 57
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\TextArea.module.css", "CSS", 0, 0, 3, 1, 0, 4
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\TextAreaField.js", "JavaScript", 27, 0, 0, 0, 5, 32
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\TextAreaField.module.css", "CSS", 0, 0, 73, 0, 11, 84
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\TextAreaRow.js", "JavaScript", 44, 0, 0, 0, 5, 49
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\TextAreaRow.module.css", "CSS", 0, 0, 9, 0, 1, 10
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\TextAreaWraper.js", "JavaScript", 13, 0, 0, 0, 2, 15
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\TextArea\TextAreaWraper.module.css", "CSS", 0, 0, 71, 0, 8, 79
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\WidgetContainer.js", "JavaScript", 15, 0, 0, 0, 4, 19
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\common\WidgetContainer.module.css", "CSS", 0, 0, 16, 1, 4, 21
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\mobile-components\MobileBody.js", "JavaScript", 92, 0, 0, 0, 13, 105
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\mobile-components\MobileBody.module.css", "CSS", 0, 0, 7, 0, 2, 9
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\mobile-components\MobileHeader.js", "JavaScript", 27, 0, 0, 0, 7, 34
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\mobile-components\MobileHeader.module.css", "CSS", 0, 0, 23, 0, 5, 28
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\mobile-components\MobileNavigation.js", "JavaScript", 52, 0, 0, 0, 6, 58
